Achillea millefolium agg.
Agrostis capilaris
Alopecurus pratensis
Anthoxanthum odoratum agg.
Betula pendula
Carex arenaria agg.
Chaerophyllum temulum
Cirsium arvense
Corynephorus canescens
Crataegus monogyna
Dactylis glomerata
Daucus carota
Elymus repens
Festuca ovina
Galium album
Galium mollugo agg.
Geranium sanguineum
Glechoma hederacea
gro?es Gras
Heracleum sphondylium
Holcus lanatus
Hypochaeris maculata L.
Hypochaeris radicata
I Moos
II Moos
III Moos
Jasione montana
Lathyrus pratensis
Pimpinella saxifraga agg.
Plantago lanceolata
Plantago subulata
Potentilla argentea
Rumex acetosella
Scorzoneroides autumnalis
Senecio inaequidens
Stachys palustris
Stellaria graminea
Tanacetum vulgare
Thymus pulegioides
Tragopogon pratensis
Trifolium pratense
Trisetum flavescens
Urtica dioica
Vicia sativa
